Sample_ID,Probability_residual_leaf_1,Probability_residual_leaf_2,Probability_residual_leaf_3,Probability_residual_leaf_4,Probability_residual_leaf_5,Z-score_residual_leaf_1,Z-score_residual_leaf_2,Z-score_residual_leaf_3,Z-score_residual_leaf_4,Z-score_residual_leaf_5,Sum_of_absolute_residual,Root_sum_of_squared_residual,Shannon_entropy_of_absolute_residual,Mahalanobis_distance_of_residual,True_label,leaf_1_true,leaf_2_true,leaf_3_true,leaf_4_true,leaf_5_true,Predicted_label,leaf_1_predicted,leaf_2_predicted,leaf_3_predicted,leaf_4_predicted,leaf_5_predicted
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-1,0.9,-0.8,0.0,-0.1,0.0,2.678715312495407,-2.2723835490218263,0.15113781655796354,-0.19629316192476665,-0.05907961912673911,1.8000000000000003,1.2083045973594573,0.5390473417948543,2.62799349073166,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_2,0.1,0.8,0.0,0.1,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-2,0.7,-0.6,0.0,-0.1,0.0,2.0285416929576865,-1.7071140094641577,0.15113781655796354,-0.19629316192476665,-0.05907961912673911,1.4,0.9273618495495703,0.5580863559661718,1.9891534716391406,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_2,0.3,0.6,0.0,0.1,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-3,0.7,-0.6,0.0,-0.1,0.0,2.0285416929576865,-1.7071140094641577,0.15113781655796354,-0.19629316192476665,-0.05907961912673911,1.4,0.9273618495495703,0.5580863559661718,1.9891534716391406,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_2,0.3,0.6,0.0,0.1,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-3,0.0,0.4,-0.1,-0.1,-0.2,-0.2470659754243336,1.119233688324183,-0.10075854437197566,-0.19629316192476665,-0.7975748582109781,0.8,0.46904157598234303,0.7536839766284379,1.7022522402740796,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_2,0.0,0.6,0.1,0.1,0.2
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-5,0.0,0.19999999999999996,0.0,-0.1,-0.1,-0.2470659754243336,0.5539641487665147,0.15113781655796354,-0.19629316192476665,-0.4283272386688586,0.3999999999999999,0.24494897427831777,0.6460148371100897,0.7248578779420707,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_2,0.0,0.8,0.0,0.1,0.1
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-3,0.0,-0.1,0.8,-0.6,-0.1,-0.2470659754243336,-0.29394016056998745,2.166308703997477,-1.7298334894620053,-0.4283272386688586,1.6,1.0099504938362078,0.6592103629737158,2.428701930853822,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_4,0.0,0.1,0.2,0.6,0.1
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-4,0.0,0.0,0.5,-0.4,-0.1,-0.2470659754243336,-0.011305390791153365,1.4106196212076596,-1.1164173584471102,-0.4283272386688586,1.0,0.6480740698407861,0.5861353116146786,1.5123657050897503,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_3,0.0,0.0,0.5,0.4,0.1
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-5,0.0,-0.1,0.7,-0.2,-0.4,-0.2470659754243336,-0.29394016056998745,1.914412343067538,-0.5030012274322145,-1.536070097295217,1.4,0.8366600265340756,0.7275814227249103,2.137984527911185,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_5,0.0,0.1,0.3,0.2,0.4
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-3,-0.2,-0.1,-0.1,0.4,0.0,-0.8972395949620537,-0.29394016056998745,-0.10075854437197566,1.3372471656124725,-0.05907961912673911,0.8,0.469041575982343,0.7536839766284379,2.1223801781263214,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_4,0.2,0.1,0.1,0.6,0.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-5,0.0,0.0,-0.7,0.8,-0.1,-0.2470659754243336,-0.011305390791153365,-1.6121367099516106,2.564079427642264,-0.4283272386688586,1.6,1.0677078252031311,0.5477267898175344,2.5898569344332953,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_3,0.0,0.0,0.7,0.2,0.1
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-2,0.0,0.0,-0.4,-0.1,0.5,-0.2470659754243336,-0.011305390791153365,-0.8564476271617933,-0.19629316192476665,1.7871584785838581,1.0,0.6480740698407861,0.5861353116146787,1.7866951966018998,leaf_5,0.0,0.0,0.0,0.0,1.0,leaf_5,0.0,0.0,0.4,0.1,0.5
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-3,0.0,-0.1,-0.4,0.0,0.5,-0.2470659754243336,-0.29394016056998745,-0.8564476271617933,0.11041490358268118,1.7871584785838581,1.0,0.6480740698407861,0.5861353116146787,1.851439657816978,leaf_5,0.0,0.0,0.0,0.0,1.0,leaf_5,0.0,0.1,0.4,0.0,0.5
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-4,0.0,0.0,-0.5,0.0,0.5,-0.2470659754243336,-0.011305390791153365,-1.1083439880917325,0.11041490358268118,1.7871584785838581,1.0,0.7071067811865476,0.43067655807339306,1.7656342883574372,leaf_5,0.0,0.0,0.0,0.0,1.0,leaf_3,0.0,0.0,0.5,0.0,0.5
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-4,0.30000000000000004,0.0,0.0,-0.3,0.0,0.7281944538822466,-0.011305390791153365,0.15113781655796354,-0.8097092929396622,-0.05907961912673911,0.6000000000000001,0.42426406871192857,0.43067655807339317,1.3076397558535786,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_1,0.7,0.0,0.0,0.3,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-5,0.30000000000000004,0.0,0.0,-0.3,0.0,0.7281944538822466,-0.011305390791153365,0.15113781655796354,-0.8097092929396622,-0.05907961912673911,0.6000000000000001,0.42426406871192857,0.43067655807339317,1.3076397558535786,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_1,0.7,0.0,0.0,0.3,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-1,0.0,0.4,-0.2,-0.2,0.0,-0.2470659754243336,1.119233688324183,-0.3526549053019149,-0.5030012274322145,-0.05907961912673911,0.8,0.48989794855663565,0.6460148371100897,1.613062831879352,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_2,0.0,0.6,0.2,0.2,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-2,0.0,0.6,-0.3,-0.1,-0.2,-0.2470659754243336,1.684503227881851,-0.6045512662318541,-0.19629316192476665,-0.7975748582109781,1.2,0.7071067811865476,0.7448869593860206,2.6685818627080433,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_2,0.0,0.4,0.3,0.1,0.2
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-4,-0.7,1.0,0.0,-0.3,0.0,-2.5226736438063533,2.8150423069971873,0.15113781655796354,-0.8097092929396622,-0.05907961912673911,2.0,1.2569805089976536,0.6204522236444332,2.8613763986117027,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_1,0.7,0.0,0.0,0.3,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-1,0.0,0.0,0.4,-0.4,0.0,-0.2470659754243336,-0.011305390791153365,1.1587232602777204,-1.1164173584471102,-0.05907961912673911,0.8,0.5656854249492381,0.43067655807339306,1.4153204052917905,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_3,0.0,0.0,0.6,0.4,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-2,0.0,0.0,0.7,0.0,-0.7,-0.2470659754243336,-0.011305390791153365,1.914412343067538,0.11041490358268118,-2.643812955921575,1.4,0.9899494936611665,0.43067655807339306,2.75022752784245,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_5,0.0,0.0,0.3,0.0,0.7
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-1,-0.1,-0.1,-0.3,0.5,0.0,-0.5721527851931936,-0.29394016056998745,-0.6045512662318541,1.6439552311199204,-0.05907961912673911,1.0,0.6,0.7258946997275976,1.8743775952627568,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_4,0.1,0.1,0.3,0.5,0.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-2,0.0,0.0,-0.6,0.6,0.0,-0.2470659754243336,-0.011305390791153365,-1.3602403490216715,1.950663296627368,-0.05907961912673911,1.2,0.848528137423857,0.43067655807339306,1.9341239546411493,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_3,0.0,0.0,0.6,0.4,0.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-4,0.0,0.0,-0.4,0.4,0.0,-0.2470659754243336,-0.011305390791153365,-0.8564476271617933,1.3372471656124725,-0.05907961912673911,0.8,0.5656854249492381,0.43067655807339306,1.3182602065660907,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_4,0.0,0.0,0.4,0.6,0.0
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-1,0.0,0.0,-0.3,-0.1,0.4,-0.2470659754243336,-0.011305390791153365,-0.6045512662318541,-0.19629316192476665,1.4179108590417386,0.8,0.5099019513592785,0.6053757932145417,1.4424658938418724,leaf_5,0.0,0.0,0.0,0.0,1.0,leaf_5,0.0,0.0,0.3,0.1,0.6
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-5,0.0,0.0,-0.3,-0.1,0.4,-0.2470659754243336,-0.011305390791153365,-0.6045512662318541,-0.19629316192476665,1.4179108590417386,0.8,0.5099019513592785,0.6053757932145417,1.4424658938418724,leaf_5,0.0,0.0,0.0,0.0,1.0,leaf_5,0.0,0.0,0.3,0.1,0.6
