Sample_ID,Probability_residual_leaf_1,Probability_residual_leaf_2,Probability_residual_leaf_3,Probability_residual_leaf_4,Probability_residual_leaf_5,Z-score_residual_leaf_1,Z-score_residual_leaf_2,Z-score_residual_leaf_3,Z-score_residual_leaf_4,Z-score_residual_leaf_5,Sum_of_absolute_residual,Root_sum_of_squared_residual,Shannon_entropy_of_absolute_residual,Mahalanobis_distance_of_residual,True_label,leaf_1_true,leaf_2_true,leaf_3_true,leaf_4_true,leaf_5_true,Predicted_label,leaf_1_predicted,leaf_2_predicted,leaf_3_predicted,leaf_4_predicted,leaf_5_predicted
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,0.4,-0.2,-0.1,-0.1,0.0,1.6537377315791295,-0.6800185861728808,-0.19390934140159394,-0.2482817665807104,-0.09912279006826348,0.8,0.46904157598234303,0.7536839766284379,1.692135685770314,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_1,0.6,0.2,0.1,0.1,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,0.4,-0.1,-0.1,-0.2,0.0,1.6537377315791295,-0.3817648203075822,-0.19390934140159394,-0.6620847108818944,-0.09912279006826348,0.8,0.46904157598234303,0.7536839766284379,1.8807536379240246,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_1,0.6,0.1,0.1,0.2,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,0.30000000000000004,-0.1,-0.1,-0.1,0.0,1.218543591689885,-0.3817648203075822,-0.19390934140159394,-0.2482817665807104,-0.09912279006826348,0.6,0.3464101615137755,0.7719796553163858,1.2998137327092103,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_1,0.7,0.1,0.1,0.1,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,-0.2,0.6,-0.1,-0.3,0.0,-0.9574271077563383,1.7060115407495078,-0.19390934140159394,-1.0758876551830783,-0.09912279006826348,1.2,0.7071067811865476,0.7448869593860205,1.8244856677085952,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_2,0.2,0.4,0.1,0.3,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,-0.7,0.9,-0.1,-0.1,0.0,-3.1333978072025612,2.6007728383454034,-0.19390934140159394,-0.2482817665807104,-0.09912279006826348,1.8000000000000003,1.1489125293076057,0.6430919922340911,3.175430377462326,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_1,0.7,0.1,0.1,0.1,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,-0.1,0.0,0.7,-0.5,-0.1,-0.5222329678670936,-0.08351105444228359,2.0873770280289228,-1.9034935437854463,-0.5121344153526945,1.4,0.8717797887081347,0.6780646784916197,2.458206589215517,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_4,0.1,0.0,0.3,0.5,0.1
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,0.0,-0.1,0.8,0.0,-0.7,-0.08703882797784895,-0.3817648203075822,2.3725378242077375,0.1655211777204736,-2.990204167059281,1.6,1.0677078252031311,0.5477267898175344,3.0514758824660397,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_5,0.0,0.1,0.2,0.0,0.7
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,0.0,-0.4,0.7,0.0,-0.3,-0.08703882797784895,-1.276526117903478,2.0873770280289228,0.1655211777204736,-1.3381576659215568,1.4000000000000001,0.8602325267042626,0.6428338893455411,2.2344816018737697,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_2,0.0,0.4,0.3,0.0,0.3
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,-0.1,-0.1,0.0,0.19999999999999996,0.0,-0.5222329678670936,-0.3817648203075822,0.09125145477722069,0.9931270663228414,-0.09912279006826348,0.39999999999999997,0.24494897427831777,0.6460148371100897,1.27325499650016,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_4,0.1,0.1,0.0,0.8,0.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,-0.1,-0.1,-0.1,0.30000000000000004,0.0,-0.5222329678670936,-0.3817648203075822,-0.19390934140159394,1.4069300106240257,-0.09912279006826348,0.6000000000000001,0.3464101615137755,0.7719796553163858,1.5633593522452292,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_4,0.1,0.1,0.1,0.7,0.0
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,-0.1,0.0,-0.1,-0.4,0.6,-0.5222329678670936,-0.08351105444228359,-0.19390934140159394,-1.4896905994842624,2.3789469616383228,1.2000000000000002,0.7348469228349535,0.7002002289708202,2.7296819703668147,leaf_5,0.0,0.0,0.0,0.0,1.0,leaf_4,0.1,0.0,0.1,0.4,0.4
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,0.0,-0.2,-0.2,-0.1,0.5,-0.08703882797784895,-0.6800185861728808,-0.47907013758040856,-0.2482817665807104,1.9659353363538918,1.0,0.5830951894845301,0.758405934844036,2.154536559779345,leaf_5,0.0,0.0,0.0,0.0,1.0,leaf_5,0.0,0.2,0.2,0.1,0.5
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,0.0,-0.1,0.0,0.0,0.09999999999999998,-0.08703882797784895,-0.3817648203075822,0.09125145477722069,0.1655211777204736,0.3138888352161675,0.19999999999999998,0.1414213562373095,0.43067655807339306,0.6434712697784182,leaf_5,0.0,0.0,0.0,0.0,1.0,leaf_5,0.0,0.1,0.0,0.0,0.9
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,0.30000000000000004,-0.3,0.0,0.0,0.0,1.218543591689885,-0.9782723520381792,0.09125145477722069,0.1655211777204736,-0.09912279006826348,0.6000000000000001,0.42426406871192857,0.43067655807339317,1.2243648611392497,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_1,0.7,0.3,0.0,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,0.5,-0.5,0.0,0.0,0.0,2.088931871468374,-1.5747798837687765,0.09125145477722069,0.1655211777204736,-0.09912279006826348,1.0,0.7071067811865476,0.43067655807339306,2.0713425448216496,leaf_1,1.0,0.0,0.0,0.0,0.0,leaf_1,0.5,0.5,0.0,0.0,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,0.0,0.5,-0.3,-0.2,0.0,-0.08703882797784895,1.4077577748842092,-0.764230933759223,-0.6620847108818944,-0.09912279006826348,1.0,0.6164414002968976,0.639759388112919,1.7291671211561248,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_2,0.0,0.5,0.3,0.2,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,0.0,0.7,-0.6,-0.1,0.0,-0.08703882797784895,2.004265306614806,-1.6197133222956668,-0.2482817665807104,-0.09912279006826348,1.4,0.9273618495495703,0.5580863559661718,2.534525355303729,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_3,0.0,0.3,0.6,0.1,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,0.0,0.5,-0.4,-0.1,0.0,-0.08703882797784895,1.4077577748842092,-1.0493917299380378,-0.2482817665807104,-0.09912279006826348,1.0,0.6480740698407861,0.5861353116146786,1.7455677741270852,leaf_2,0.0,1.0,0.0,0.0,0.0,leaf_2,0.0,0.5,0.4,0.1,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,0.0,0.0,0.19999999999999996,-0.2,0.0,-0.08703882797784895,-0.08351105444228359,0.6615730471348498,-0.6620847108818944,-0.09912279006826348,0.39999999999999997,0.282842712474619,0.43067655807339306,0.8069524105362221,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_3,0.0,0.0,0.8,0.2,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,0.0,-0.1,0.4,-0.2,-0.1,-0.08703882797784895,-0.3817648203075822,1.2318946394924792,-0.6620847108818944,-0.5121344153526945,0.7999999999999999,0.46904157598234303,0.7536839766284379,1.2416631926397845,leaf_3,0.0,0.0,1.0,0.0,0.0,leaf_3,0.0,0.1,0.6,0.2,0.1
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,0.0,-0.1,-0.3,0.4,0.0,-0.08703882797784895,-0.3817648203075822,-0.764230933759223,1.8207329549252094,-0.09912279006826348,0.8,0.5099019513592785,0.6053757932145417,1.8062778170796678,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_4,0.0,0.1,0.3,0.6,0.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,-0.1,-0.1,-0.1,0.30000000000000004,0.0,-0.5222329678670936,-0.3817648203075822,-0.19390934140159394,1.4069300106240257,-0.09912279006826348,0.6000000000000001,0.3464101615137755,0.7719796553163858,1.5633593522452292,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_4,0.1,0.1,0.1,0.7,0.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,0.0,0.0,-0.6,0.6,0.0,-0.08703882797784895,-0.08351105444228359,-1.6197133222956668,2.6483388435275774,-0.09912279006826348,1.2,0.848528137423857,0.43067655807339306,2.7197524032635747,leaf_4,0.0,0.0,0.0,1.0,0.0,leaf_3,0.0,0.0,0.6,0.4,0.0
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,0.0,0.0,-0.1,0.0,0.09999999999999998,-0.08703882797784895,-0.08351105444228359,-0.19390934140159394,0.1655211777204736,0.3138888352161675,0.19999999999999998,0.1414213562373095,0.43067655807339306,0.40618147446350555,leaf_5,0.0,0.0,0.0,0.0,1.0,leaf_5,0.0,0.0,0.1,0.0,0.9
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,0.0,0.0,-0.3,-0.2,0.5,-0.08703882797784895,-0.08351105444228359,-0.764230933759223,-0.6620847108818944,1.9659353363538918,1.0,0.6164414002968976,0.639759388112919,1.9662320741496968,leaf_5,0.0,0.0,0.0,0.0,1.0,leaf_5,0.0,0.0,0.3,0.2,0.5
