Step_0,Step_1,Step_2,Precision,Recall,F1_Score,Accuracy,AUC,Model_step_1,Model_step_2,Model_step_3
2_0_%#1,5_0_%#1,7_0_%#1,0.8916666666666668,0.8400000000000001,0.8412198912198912,0.936,0.976,StandardScaler,feat5,KNeighborsClassifier
2_0_%#1,5_0_%#1,7_0_%#2,0.85,0.8400000000000001,0.8383838383838385,0.936,0.974,StandardScaler,feat5,RandomForestClassifier
2_0_%#1,5_0_%#1,7_0_%#3,0.8666666666666668,0.8399999999999999,0.8368686868686869,0.936,0.972,StandardScaler,feat_all,KNeighborsClassifier
2_0_%#1,5_0_%#1,7_0_%#4,0.8428571428571429,0.8,0.793939393939394,0.92,0.969,StandardScaler,feat_all,RandomForestClassifier
2_0_%#1,5_0_%#2,7_0_%#1,0.6695238095238095,0.64,0.6227705627705628,0.8560000000000001,0.8770000000000001,StandardScaler,feat5,KNeighborsClassifier
2_0_%#1,5_0_%#2,7_0_%#2,0.7650793650793651,0.6799999999999999,0.680952380952381,0.8720000000000001,0.918,StandardScaler,feat5,RandomForestClassifier
2_0_%#1,5_0_%#2,7_0_%#3,0.7595238095238095,0.72,0.7051948051948053,0.8880000000000001,0.905,StandardScaler,feat_all,KNeighborsClassifier
2_0_%#1,5_0_%#2,7_0_%#4,0.7533333333333333,0.76,0.7472727272727273,0.904,0.963,StandardScaler,feat_all,RandomForestClassifier
2_0_%#2,5_0_%#1,7_0_%#1,0.6833333333333333,0.6,0.5807303807303807,0.8400000000000001,0.8390000000000001,StandardScaler,feat5,KNeighborsClassifier
2_0_%#2,5_0_%#1,7_0_%#2,0.54,0.5599999999999999,0.5445454545454547,0.8240000000000001,0.7809999999999999,StandardScaler,feat5,RandomForestClassifier
2_0_%#2,5_0_%#1,7_0_%#3,0.4333333333333334,0.3999999999999999,0.4095959595959596,0.76,0.6910000000000001,StandardScaler,feat_all,KNeighborsClassifier
2_0_%#2,5_0_%#1,7_0_%#4,0.6109523809523809,0.6,0.592121212121212,0.8400000000000001,0.853,StandardScaler,feat_all,RandomForestClassifier
2_0_%#2,5_0_%#2,7_0_%#1,0.7128571428571429,0.72,0.7018181818181819,0.8879999999999999,0.875,StandardScaler,feat5,KNeighborsClassifier
2_0_%#2,5_0_%#2,7_0_%#2,0.6442857142857142,0.64,0.6284848484848485,0.8559999999999999,0.882,StandardScaler,feat5,RandomForestClassifier
2_0_%#2,5_0_%#2,7_0_%#3,0.5916666666666667,0.5599999999999999,0.5075324675324675,0.8240000000000001,0.825,StandardScaler,feat_all,KNeighborsClassifier
2_0_%#2,5_0_%#2,7_0_%#4,0.5266666666666666,0.5199999999999999,0.5195959595959596,0.808,0.826,StandardScaler,feat_all,RandomForestClassifier
