Process_ID,All,7_0_%#1,7_0_%#2,7_0_%#3,7_0_%#4
Process_label,All,StandardScaler_feat5_KNeighborsClassifier,StandardScaler_feat5_RandomForestClassifier,StandardScaler_feat_all_KNeighborsClassifier,StandardScaler_feat_all_RandomForestClassifier
n_records,16,4,4,4,4
Mean_AUC_macro,0.8828750000000001,0.89175,0.88875,0.84825,0.90275
Min_AUC_macro,0.6910000000000001,0.8390000000000001,0.7809999999999999,0.6910000000000001,0.826
Median_AUC_macro,0.8795000000000001,0.8760000000000001,0.9,0.865,0.9079999999999999
Max_AUC_macro,0.976,0.976,0.974,0.972,0.969
All,1.0,0.8871192651002024,0.8129796669303189,0.6027259819813521,0.962260765923171
7_0_%#1,0.8871192651002024,1.0,0.8857142857142857,0.6857142857142857,0.8857142857142857
7_0_%#2,0.8129796669303189,0.8857142857142857,1.0,0.6857142857142857,1.0
7_0_%#3,0.6027259819813521,0.6857142857142857,0.6857142857142857,1.0,0.6857142857142857
7_0_%#4,0.962260765923171,0.8857142857142857,1.0,0.6857142857142857,1.0
