Process_ID,All,7_0_%#1,7_0_%#2,7_0_%#3,7_0_%#4
Process_label,All,StandardScaler_feat5_KNeighborsClassifier,StandardScaler_feat5_RandomForestClassifier,StandardScaler_feat_all_KNeighborsClassifier,StandardScaler_feat_all_RandomForestClassifier
n_records,16,4,4,4,4
Mean_AUC_micro,0.8906125,0.9027499999999999,0.89595,0.85185,0.9118999999999999
Min_AUC_micro,0.7178,0.854,0.8076,0.7178,0.8596
Median_AUC_micro,0.8941,0.8929,0.9005000000000001,0.8600000000000001,0.9117
Max_AUC_micro,0.9752,0.9712,0.9752,0.9696,0.9646
All,1.0,0.962260765923171,0.8129796669303189,0.6027259819813521,0.8871192651002024
7_0_%#1,0.962260765923171,1.0,0.8857142857142857,0.6857142857142857,1.0
7_0_%#2,0.8129796669303189,0.8857142857142857,1.0,0.6857142857142857,1.0
7_0_%#3,0.6027259819813521,0.6857142857142857,0.6857142857142857,1.0,0.6857142857142857
7_0_%#4,0.8871192651002024,1.0,1.0,0.6857142857142857,1.0
