Step_0,Step_1,Step_2,Precision,Recall,F1_Score,Accuracy,AUC,Model_step_1,Model_step_2,Model_step_3
2_0_%#1,5_0_%#1,7_0_%#1,0.84,0.84,0.84,0.84,0.9712,StandardScaler,feat5,KNeighborsClassifier
2_0_%#1,5_0_%#1,7_0_%#2,0.84,0.84,0.84,0.84,0.9752,StandardScaler,feat5,RandomForestClassifier
2_0_%#1,5_0_%#1,7_0_%#3,0.84,0.84,0.84,0.84,0.9696,StandardScaler,feat_all,KNeighborsClassifier
2_0_%#1,5_0_%#1,7_0_%#4,0.8,0.8,0.8,0.8,0.9646,StandardScaler,feat_all,RandomForestClassifier
2_0_%#1,5_0_%#2,7_0_%#1,0.64,0.64,0.64,0.64,0.8888,StandardScaler,feat5,KNeighborsClassifier
2_0_%#1,5_0_%#2,7_0_%#2,0.68,0.68,0.68,0.68,0.9098,StandardScaler,feat5,RandomForestClassifier
2_0_%#1,5_0_%#2,7_0_%#3,0.72,0.72,0.72,0.72,0.9018,StandardScaler,feat_all,KNeighborsClassifier
2_0_%#1,5_0_%#2,7_0_%#4,0.76,0.76,0.76,0.76,0.9622,StandardScaler,feat_all,RandomForestClassifier
2_0_%#2,5_0_%#1,7_0_%#1,0.6,0.6,0.6,0.6,0.854,StandardScaler,feat5,KNeighborsClassifier
2_0_%#2,5_0_%#1,7_0_%#2,0.56,0.56,0.56,0.56,0.8076,StandardScaler,feat5,RandomForestClassifier
2_0_%#2,5_0_%#1,7_0_%#3,0.4,0.4,0.4,0.4,0.7178,StandardScaler,feat_all,KNeighborsClassifier
2_0_%#2,5_0_%#1,7_0_%#4,0.6,0.6,0.6,0.6,0.8596,StandardScaler,feat_all,RandomForestClassifier
2_0_%#2,5_0_%#2,7_0_%#1,0.72,0.72,0.72,0.72,0.897,StandardScaler,feat5,KNeighborsClassifier
2_0_%#2,5_0_%#2,7_0_%#2,0.64,0.64,0.64,0.64,0.8912,StandardScaler,feat5,RandomForestClassifier
2_0_%#2,5_0_%#2,7_0_%#3,0.56,0.56,0.56,0.56,0.8182,StandardScaler,feat_all,KNeighborsClassifier
2_0_%#2,5_0_%#2,7_0_%#4,0.52,0.52,0.52,0.52,0.8612,StandardScaler,feat_all,RandomForestClassifier
