Sample_ID,Label,Target_value,Group
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-1,1-1,leaf_1,group_1
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-2,1-2,leaf_1,group_1
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-3,1-3,leaf_1,group_1
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-4,1-4,leaf_1,group_1
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-5,1-5,leaf_1,group_1
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-1,2-1,leaf_2,group_1
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-2,2-2,leaf_2,group_1
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-3,2-3,leaf_2,group_1
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-4,2-4,leaf_2,group_1
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-5,2-5,leaf_2,group_1
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-1,3-1,leaf_3,group_2
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-2,3-2,leaf_3,group_2
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-3,3-3,leaf_3,group_2
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-4,3-4,leaf_3,group_2
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-5,3-5,leaf_3,group_2
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-1,4-1,leaf_4,group_2
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-2,4-2,leaf_4,group_2
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-3,4-3,leaf_4,group_2
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-4,4-4,leaf_4,group_2
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-5,4-5,leaf_4,group_2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-1,5-1,leaf_5,group_2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-2,5-2,leaf_5,group_2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-3,5-3,leaf_5,group_2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-4,5-4,leaf_5,group_2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-5,5-5,leaf_5,group_2
