Sample_ID,Residual,Standardized_residuals,True_y,Predicted_y
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-1,0.20000000000000018,0.6744907594765956,4,3.8
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-4,0.20000000000000018,0.6744907594765956,4,3.8
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-5,0.2999999999999998,0.8993210126354599,4,3.7
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-4,-0.20000000000000018,-0.22483025315886523,3,3.2
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-2,0.5,1.3489815189531904,2,1.5
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-3,0.3999999999999999,1.1241512657943251,2,1.6
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-4,-0.5,-0.8993210126354599,2,2.5
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-5,-0.7000000000000002,-1.3489815189531904,2,2.7
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-2,-0.10000000000000009,0.0,1,1.1
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-3,-0.10000000000000009,0.0,1,1.1
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-4,-0.10000000000000009,0.0,1,1.1
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-4,-0.3,-0.4496605063177298,0,0.3
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-5,-0.2,-0.22483025315886485,0,0.2
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-2,0.0,0.22483025315886523,4,4.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-3,0.0,0.22483025315886523,4,4.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-1,-0.3999999999999999,-0.6744907594765946,3,3.4
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-2,-0.20000000000000018,-0.22483025315886523,3,3.2
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-3,0.8999999999999999,2.2483025315886502,3,2.1
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-5,-0.5,-0.8993210126354599,3,3.5
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-1,0.19999999999999996,0.6744907594765952,2,1.8
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-1,0.5,1.3489815189531904,1,0.5
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-5,-0.8999999999999999,-1.7986420252709199,1,1.9
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-1,-0.5,-0.8993210126354599,0,0.5
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-2,-0.1,1.8720879276695609e-16,0,0.1
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5-3,-0.1,1.8720879276695609e-16,0,0.1
