Sample_ID,Residual,Standardized_residuals,True_y,Predicted_y
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,0.6000000000000001,0.9442870632672337,4,3.4
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,0.7000000000000002,1.079185215162553,4,3.3
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,0.6000000000000001,0.9442870632672337,4,3.4
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,0.7000000000000002,1.079185215162553,4,3.3
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,0.7999999999999998,1.2140833670578715,3,2.2
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,0.3999999999999999,0.6744907594765953,3,2.6
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,0.19999999999999996,0.40469445568595724,2,1.8
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,0.10000000000000009,0.26979630379063835,2,1.9
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,-1.4,-1.7536759746391475,1,2.4
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,0.0,0.13489815189531917,1,1.0
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,-0.3,-0.269796303790638,0,0.3
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,-0.2,-0.13489815189531895,0,0.2
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,-0.2,-0.13489815189531895,0,0.2
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,0.0,0.13489815189531917,4,4.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,-0.20000000000000018,-0.13489815189531917,3,3.2
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,-0.3999999999999999,-0.40469445568595697,3,3.4
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,-0.7999999999999998,-0.9442870632672331,3,3.8
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,0.8,1.2140833670578717,2,1.2
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,0.7,1.0791852151625525,2,1.3
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,-0.10000000000000009,0.0,2,2.1
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,-1.1,-1.3489815189531906,1,2.1
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,-0.5,-0.5395926075812761,1,1.5
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,-0.7,-0.8093889113719142,1,1.7
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,-0.4,-0.4046944556859571,0,0.4
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,-0.6,-0.6744907594765952,0,0.6
