Step_0,Step_1,Step_2,Mean_Error,Standard_Deviation_of_Error,Mean_Absolute_Error,Normalized_MAE,CV_MAE,Mean_Squared_Error,Root_Mean_Squared_Error,Normalized_RMSE,CV_RMSE,Residual_Prediction_Deviation,R2,Model_step_1,Model_step_2,Model_step_3
2_0_%#1,5_0_%#1,7_0_%#1,0.1866666666666667,0.4906231864793093,0.4,0.1,0.2,0.2755555555555555,0.5249338582674541,0.1312334645668635,0.262466929133727,2.6940795304016234,0.8622222222222222,StandardScaler,feat5,KNeighborsRegressor
2_0_%#1,5_0_%#1,7_0_%#2,0.084,0.3791358595543291,0.316,0.079,0.158,0.1508,0.388329756778952,0.097082439194738,0.194164878389476,3.641785203646149,0.9246,StandardScaler,feat5,RandomForestRegressor
2_0_%#1,5_0_%#1,7_0_%#3,-0.0533333333333332,0.5471542540982185,0.4533333333333333,0.1133333333333333,0.2266666666666666,0.3022222222222222,0.5497474167490214,0.1374368541872553,0.2748737083745107,2.5724787771376327,0.8488888888888889,StandardScaler,feat_all,KNeighborsRegressor
2_0_%#1,5_0_%#1,7_0_%#4,0.0519999999999999,0.4665790393920412,0.38,0.095,0.19,0.2203999999999999,0.4694677837722201,0.117366945943055,0.23473389188611,3.01237616564389,0.8898,StandardScaler,feat_all,RandomForestRegressor
2_0_%#1,5_0_%#2,7_0_%#1,0.0,0.4216370213557839,0.3466666666666666,0.0866666666666666,0.1733333333333333,0.1777777777777777,0.4216370213557839,0.1054092553389459,0.2108185106778919,3.3541019662496847,0.9111111111111112,StandardScaler,feat5,KNeighborsRegressor
2_0_%#1,5_0_%#2,7_0_%#2,-0.068,0.4017163178164412,0.324,0.081,0.162,0.166,0.4074309757492673,0.1018577439373168,0.2037154878746336,3.4710506725031163,0.917,StandardScaler,feat5,RandomForestRegressor
2_0_%#1,5_0_%#2,7_0_%#3,-0.0533333333333333,0.4389887368841154,0.3733333333333333,0.0933333333333333,0.1866666666666666,0.1955555555555555,0.4422166387140533,0.1105541596785133,0.2211083193570266,3.1980107453341566,0.9022222222222224,StandardScaler,feat_all,KNeighborsRegressor
2_0_%#1,5_0_%#2,7_0_%#4,-0.036,0.517594435827898,0.412,0.103,0.206,0.2692,0.5188448708429139,0.1297112177107284,0.2594224354214569,2.725696334003588,0.8654,StandardScaler,feat_all,RandomForestRegressor
2_0_%#2,5_0_%#1,7_0_%#1,0.0133333333333333,0.6427717756370106,0.5199999999999999,0.1299999999999999,0.2599999999999999,0.4133333333333333,0.6429100507328637,0.1607275126832159,0.3214550253664318,2.1997067253202998,0.7933333333333333,StandardScaler,feat5,KNeighborsRegressor
2_0_%#2,5_0_%#1,7_0_%#2,0.108,0.6455509275030128,0.484,0.121,0.242,0.4284,0.654522726878143,0.1636306817195357,0.3272613634390715,2.1606790785072145,0.7857999999999999,StandardScaler,feat5,RandomForestRegressor
2_0_%#2,5_0_%#1,7_0_%#3,0.04,1.0384603988597736,0.8933333333333333,0.2233333333333333,0.4466666666666666,1.08,1.0392304845413265,0.2598076211353316,0.5196152422706632,1.3608276348795434,0.4599999999999999,StandardScaler,feat_all,KNeighborsRegressor
2_0_%#2,5_0_%#1,7_0_%#4,-0.2119999999999999,0.9056798551364604,0.7959999999999999,0.1989999999999999,0.3979999999999999,0.8652,0.9301612763386788,0.2325403190846697,0.4650806381693394,1.5203960843648034,0.5674,StandardScaler,feat_all,RandomForestRegressor
2_0_%#2,5_0_%#2,7_0_%#1,0.2933333333333333,0.7138004700972893,0.6399999999999999,0.1599999999999999,0.3199999999999999,0.5955555555555556,0.7717224601860151,0.1929306150465037,0.3858612300930075,1.8325416653445783,0.7022222222222222,StandardScaler,feat5,KNeighborsRegressor
2_0_%#2,5_0_%#2,7_0_%#2,0.124,0.7425792886958268,0.524,0.131,0.262,0.5668,0.7528612089887484,0.1882153022471871,0.3764306044943742,1.8784518919133613,0.7166,StandardScaler,feat5,RandomForestRegressor
2_0_%#2,5_0_%#2,7_0_%#3,0.1866666666666666,1.0157865042528484,0.9066666666666668,0.2266666666666666,0.4533333333333333,1.0666666666666669,1.0327955589886444,0.2581988897471611,0.5163977794943222,1.3693063937629155,0.4666666666666667,StandardScaler,feat_all,KNeighborsRegressor
2_0_%#2,5_0_%#2,7_0_%#4,0.1039999999999999,0.6779262496761723,0.56,0.14,0.28,0.4704,0.6858571279792899,0.1714642819948224,0.3429285639896449,2.0619652471058063,0.7648,StandardScaler,feat_all,RandomForestRegressor
